artist,corpus
drake & lauryn hill,"Counter({'me': 6, 'for': 4, 'hit': 4, 'you': 3, 'them': 3, 'give': 2, 'to': 2, 'cry': 2, 'youd': 1, 'yeah': 1, 'wont': 1, 'its': 1, 'said': 1, 'live': 1, 'club': 1, 'angles': 1, 'why': 1, 'a': 1, 'short': 1, 'like': 1, 'die': 1, 'gotta': 1, 'life': 1, 'the': 1})"
moodymann,"Counter({'on': 5, 'fuck': 3, 'hold': 3, 'this': 3, 'mothafuckin': 2, 'that': 2, 'a': 2, 'shit.': 2, 'over': 1, 'better.': 1, 'record.': 1, 'goin': 1, 'still': 1, 'drinks': 1, 'ima': 1, 'minute.': 1, 'that.': 1, 'for': 1, 'start': 1, 'get': 1, 'to': 1, 'ayy': 1, 'lot': 1, 'got': 1, 'mothafucka': 1, 'record': 1, 'sound': 1, 'play': 1, 'yall.': 1, 'some': 1, 'wait': 1, 'i': 1, 'ill': 1, 'again': 1, 'more': 1, 'whole': 1, 'yall': 1})"
big freedia,"Counter({'on': 2, 'hold': 2, 'tonight': 1, 'i': 1, 'who': 1, 'mothafuckin': 1, 'here': 1, 'know': 1, 'representin': 1, 'in': 1, 'wanna': 1})"
travis scott,"Counter({'the': 11, 'i': 7, 'go': 6, 'my': 5, 'gon': 4, 'we': 4, 'live': 4, 'and': 4, 'in': 4, 'out': 3, 'a': 3, 'just': 2, 'yep': 2, 'get': 2, 'yeah': 2, 'of': 2, 'that': 2, 'wave': 2, 'roc': 1, 'fuck-shit': 1, 'still': 1, 'takin': 1, 'its': 1, 'digest': 1, 'hint': 1, 'send': 1, 'lets': 1, 'fade': 1, 'swimmin': 1, 'might': 1, 'kick': 1, 'hit': 1, 'livin': 1, 'feelin': 1, 'bracelets': 1, 'basement': 1, 'not': 1, 'like': 1, 'did': 1, 'gettin': 1, 'drake': 1, 'she': 1, 'shots': 1, 'throwin': 1, 'dead': 1, 'sign': 1, 'goose': 1, 'portland': 1, 'what': 1, 'for': 1, 'got': 1, 'told': 1, 'loose': 1, 'free': 1, 'tidal': 1, 'could': 1, 'jay': 1, 'thats': 1, 'dont': 1, 'bitch:': 1, 'crib': 1, 'momma': 1, 'guess': 1, 'her': 1, 'du-rag': 1, 'way': 1, 'prez': 1, 'biased': 1, 'type': 1, 'tryna': 1, 'buy': 1, 'cup': 1, 'but': 1, 'back': 1, 'lift': 1, 'with': 1, 'me': 1, 'b': 1, 'room': 1, 'servin': 1, 'double': 1, 'gotta': 1, 'us': 1, 'n': 1, 'cake': 1, 'is': 1, 'deep': 1, 'im': 1, 'at': 1, 'snorkelin': 1, 'face': 1, 'organs': 1, 'mix': 1, 'different': 1, 'sit': 1, 'when': 1, 'lit': 1, 'flood': 1, 'henny': 1, 'tie': 1, 'you': 1, 'play': 1, 'askin': 1, 'max': 1, 'stay': 1, 'bulletproof': 1, 'waves': 1, 'pool': 1, 'kid': 1, 'stress': 1, 'off': 1, 'rollie': 1, 'no': 1, 'ocean': 1})"
quavo,"Counter({'the': 32, 'skrrt': 20, 'with': 10, 'ride': 9, 'nah': 9, 'to': 8, 'never': 7, 'your': 7, 'wave': 6, 'michael': 6, 'nope': 6, 'let': 6, 'oh': 6, 'way': 6, 'niggas': 6, 'these': 6, 'no': 6, 'got': 5, 'you': 5, 'moves': 4, 'i': 4, 'ugh': 3, 'shoes': 3, 'just': 3, 'hell': 3, 'million': 3, 'swim': 3, 'phelps': 3, 'safe': 3, 'ten': 3, 'hide': 3, 'dollars': 3, 'wraith': 3, 'tennis': 3, 'park': 3, 'jordan': 3, 'gotta': 3, 'benz': 3, 'fifty': 2, 'key': 2, 'last': 2, 'ike': 2, 'bitches': 2, 'keys': 2, 'hand': 2, 'a': 2, 'spent': 2, 'move': 1, 'brrrapt': 1, 'go': 1, 'chain': 1, 'young': 1, 'lets': 1, 'rules': 1, 'they': 1, 'bit': 1, 'magnet': 1, 'bad': 1, 'trap': 1, 'nigga': 1, 'streets': 1, 'up': 1, 'out': 1, 'gangland': 1, 'for': 1, 'tattoos': 1, 'warzone': 1, 'invented': 1, 'on': 1, 'defeat': 1, 'right': 1, 'class': 1, 'listen': 1, 'cash': 1, 'it': 1, 'sad': 1, 'im': 1, 'griselda': 1, 'turner': 1, 'peace': 1, 'quavo': 1, 'racks': 1, 'goin': 1, 'undertaker': 1, 'blanco': 1, 'switch': 1, 'left': 1})"
lauryn hill & letitia wright,"Counter({'me': 54, 'for': 46, 'there': 15, 'care': 15, 'you': 13, 'said': 9, 'youd': 9, 'give': 8, 'to': 8, 'cry': 8, 'be': 5, 'i': 5, 'know': 5, 'die': 4, 'why': 4, 'live': 4, 'wont': 4, 'breakdown': 1, 'watch': 1, 'the': 1})"
drake,"Counter({'you': 43, 'i': 33, 'wishin': 26, 'and': 25, 'the': 25, 'that': 24, 'it': 23, 'a': 23, 'me': 21, 'gotta': 21, 'on': 20, 'up': 19, 'make': 16, 'they': 15, 'jump': 15, 'its': 13, 'things': 13, 'no': 13, 'for': 12, 'with': 12, 'to': 11, 'over': 11, 'yeah': 11, 'got': 10, 'bad': 10, 'down': 10, 'my': 9, 'dont': 9, 'ayy': 9, 'but': 8, 'bend': 7, 'now': 7, 'lift': 7, 'like': 7, 'your': 7, 'niggas': 6, 'im': 6, 'know': 6, 'of': 6, 'go': 5, 'from': 5, 'hard': 5, 'out': 5, 'yuh': 5, 'hit': 5, 'away': 5, 'cant': 5, 'off': 5, 'without': 5, 'be': 5, 'really': 5, 'alright': 5, 'passin': 4, 'gettin': 4, 'never': 4, 'wait': 4, 'tryna': 4, 'phone': 4, 'still': 4, 'then': 4, 'them': 4, 'cause': 4, 'say': 4, 'plan': 4, 'miles': 4, 'ways': 4, 'blame': 4, 'been': 4, 'these': 4, 'in': 4, 'just': 4, 'gods': 4, 'passive': 4, 'apart': 4, 'passionate': 4, 'old': 4, 'fallin': 4, 'lot': 4, 'showin': 4, 'even': 3, 'what': 3, 'thats': 3, 'how': 3, 'so': 3, 'might': 3, 'mention': 3, 'wont': 3, 'em': 3, 'girl': 3, 'g-g-gotta': 3, 'take': 3, 'bring': 3, 'get': 3, 'see': 3, 'life': 3, 'is': 3, 'had': 3, 'back': 3, 'road': 3, 'us': 3, 'nice': 3, 'follow': 2, 'round': 2, 'let': 2, 'love': 2, 'north-side': 2, 'fake': 2, 'everybody': 2, 'tell': 2, 'club': 2, 'this': 2, 'pipin': 2, 'high': 2, 'keep': 2, 'man': 2, 'short': 2, 'light': 2, 'not': 2, 'g': 2, 'days': 2, 'one': 2, 'listen': 2, 'were': 2, 'sure': 2, 'sometimes': 2, 'only': 2, 'do': 2, 'southside': 2, 'she': 2, 'close': 2, 'last': 2, 'understand': 2, 'angles': 2, 'ive': 2, 'if': 2, 'fabo': 2, 'snappin': 2, 'reflection': 2, 'real': 2, 'around': 2, 'some': 2, 'g.o.d.': 2, 'wanna': 2, 'was': 2, 'eat': 2, 'mothafuckin': 2, 'at': 2, 'shit': 2, 'when': 2, 'finessed': 1, 'month': 1, 'saved': 1, 'issues': 1, 'afterparty': 1, 'ritualistic': 1, 'sorry': 1, 'fences': 1, 'scarlett': 1, 'song': 1, 'tatted': 1, 'trouble': 1, 'school': 1, 'cable': 1, 'die': 1, 'leave': 1, 'thered': 1, 'havent': 1, 'picket': 1, 'past': 1, 'broskies': 1, 'goes': 1, 'ever': 1, 'here': 1, 'met': 1, 'pics': 1, 'pick': 1, 'next': 1, 'call': 1, 'calm': 1, '6': 1, 'killas': 1, 'baby': 1, 'hold': 1, 'car': 1, 'work': 1, 'soul': 1, 'cuddle': 1, '150000': 1, 'benz': 1, 'fuck': 1, 'pieces': 1, 'want': 1, 'workin': 1, 'hesitate': 1, 'turn': 1, 'tension': 1, 'leavin': 1, 'lay': 1, 'addiction': 1, 'talk': 1, 'hunnid': 1, 'better': 1, 'good': 1, 'ya': 1, 'bein': 1, 'break': 1, 'day': 1, 'gassed': 1, 'side': 1, 'doing': 1, 'year': 1, '81': 1, 'saturday': 1, 'album': 1, 'gon': 1, 'since': 1, 'forty': 1, 'offline': 1, 'ass': 1, 'story': 1, 'struggle': 1, 'imagine': 1, 'could': 1, 'times': 1, 'thing': 1, 'think': 1, 'already': 1, 'feel': 1, 'miss': 1, 'guess': 1, 'overtime': 1, 'girls': 1, 'dogs': 1, 'way': 1, 'shorty': 1, 'bringin': 1, 'bed': 1, 'have': 1, 'note': 1, 'which': 1, 'doin': 1, 'paid': 1, 'dog': 1, 'outlive': 1, 'kiddin': 1, 'show': 1, 'fifty': 1, 'aint': 1, 'slow': 1, 'outside': 1, 'should': 1, 'brighter': 1, 'rich': 1, '8': 1, 'hope': 1, 'beat': 1, 'peepin': 1, 'where': 1, 'hoes': 1, 'movin': 1, 'said': 1, 'fans': 1, 'between': 1, 'probably': 1, 'watchin': 1, 'we': 1, 'loose': 1, 'screen': 1, 'lover': 1, 'come': 1, 'a.m.': 1, 'nessed': 1, 'table': 1, 'trust': 1, 'seein': 1, 'dub': 1, 'ting': 1, 'peaceful': 1, 'crashers': 1, 'partly': 1, 'bill': 1, 'harder': 1, 'cracked': 1, 'bitin': 1, 'someone': 1, 'ironic': 1, 'different': 1, 'cleansin': 1, 'thinkin': 1, 'same': 1, 'party': 1, 'finish': 1, 'fucked': 1, 'kid': 1, 'youre': 1, 'murda': 1, 'yep': 1, 'yes': 1, '5s': 1, 'lets': 1, 'gave': 1, 'bands': 1, 'lovin': 1, 'dark': 1, 'five': 1, 'right': 1, 'oli': 1, 'playin': 1, 'everything': 1, 'o3': 1, 'o2': 1, 'buildin': 1, 'dollars': 1, 'youve': 1, 'own': 1, 'into': 1, 'commitment': 1, 'momma': 1, 'doesnt': 1, 'her': 1, 'long': 1, 'start': 1, 'low': 1, 'first-last': 1, 'torch': 1, 'boys': 1, 'pull': 1, 'inside': 1, 'distance': 1, 'am': 1, 'an': 1, 'weston': 1, 'as': 1, 'theyll': 1, '40': 1, 'roll': 1, 'brothers': 1, 'habibis': 1, 'friends': 1, 'stressin': 1, 'rule': 1, 'tense': 1})"
zoe kravitz,"Counter({'to': 2, 'right': 1, 'thing': 1, 'of': 1, 'um': 1, 'say': 1, 'the': 1, 'trying': 1, 'think': 1})"
lauryn hill,"Counter({'me': 36, 'for': 30, 'you': 11, 'youd': 9, 'said': 9, 'there': 9, 'care': 9, 'cry': 7, 'give': 6, 'to': 6, 'wont': 3, 'live': 3, 'be': 3, 'why': 3, 'back': 2, 'in': 2, 'i': 2, 'die': 2, 'explain': 1, 'how': 1, 'lettin': 1, 'myself': 1, 'keep': 1, 'can': 1})"
lauryn hill & drake,"Counter({'me': 24, 'for': 21, 'you': 7, 'there': 6, 'to': 6, 'care': 6, 'youd': 5, 'said': 5, 'give': 4, 'cry': 4, 'wont': 2, 'live': 2, 'be': 2, 'know': 2, 'why': 2, 'die': 2, 'weezyana': 1, 'yeah': 1, 'a': 1, 'shit': 1, 'lil': 1, 'song': 1, 'beat': 1, 'cut': 1, 'on': 1, 'i': 1, 'up': 1, 'the': 1, 'murda': 1, 'yall': 1})"
